score kills time
111.25 3 124
472.44 9 247
149.8 4 159
238.95 5 214
180.64 4 187
215.33 5 260
255.28 5 175
-69.74 0 91
325.27 7 258
323.14 7 187
227.09 4 152
199.23 4 140
360.16 7 171
3.06 1 101
217.9 5 179
146.76 3 141
169.32 4 143
274.82 6 243
257.44 5 247
171.94 5 147
163.99 4 132
286.21 5 206
225.88 5 195
230.13 5 170
-9.99 1 166
444.04 9 217
176.94 4 147
894.98 16 415
234.22 5 223
520.24 10 257
164.74 4 157
165.16 4 172
447.71 9 256
262.72 5 173
289.17 6 138
249.65 5 155
-84.56 0 97
223.71 5 206
199.07 4 218
232.81 5 176
273.5 6 200
141.76 3 141
183.82 4 293
1.12 1 203
-65.02 0 165
226.35 5 294
201.4 4 130
277.17 6 238
220.61 5 186
231.82 5 143
174.31 5 226
241.02 5 283
408.32 8 193
314.61 6 237
245.4 5 179
331.45 6 214
243.74 5 207
76.31 2 126
498.53 9 200
232.12 5 153
412.26 8 241
368.95 7 214
240.85 6 194
279.91 6 246
246.7 5 139
560.45 10 264
171.55 4 134
235.55 5 184
305.64 6 187
200.04 4 167
360.37 7 178
357.17 7 238
436.68 9 305
338.11 7 186
441.26 8 291
295.16 6 171
304.07 6 218
136.43 3 130
217.18 5 155
324.23 7 140
78.29 2 192
295.1 6 169
165.67 4 188
285.79 6 192
420.36 7 261
60.37 2 178
169.14 4 137
319.01 6 216
186.55 4 134
290.28 6 175
94.7 2 239
202.12 5 153
370.31 7 176
112.18 3 155
176.91 4 146
239.26 5 141
272.29 5 242
316.27 6 208
86.91 2 146
285.7 6 189
44.8 1 159
328.98 7 215
-83.27 0 140
129.59 3 152
257.86 5 261
102.03 3 150
315.22 6 173
-16.04 1 131
174.32 4 143
318.16 6 271
492.98 9 265
374.55 7 234
-82.79 0 156
-84.71 0 92
221.55 5 134
134.86 4 161
262.7 5 339
53.75 2 124
53.18 2 105
122.48 3 165
286.54 6 217
386.72 7 223
66.19 2 122
232.57 4 168
276.28 6 125
249.64 6 237
259.47 5 148
235.61 6 186
248.23 5 190
100.34 3 177
200.1 5 169
344.46 7 231
363.77 7 208
428.04 8 267
536.53 10 300
227.53 5 250
83.99 2 132
420.85 8 194
-83.27 0 140
208.47 5 198
476.32 10 293
336.75 7 224
413.41 8 196
313.56 6 201
185.55 5 184
311.78 6 226
189.35 4 144
-15.17 1 160
301.03 7 200
-84.53 0 98
391.75 7 224
212.51 5 166
432.77 8 258
278.85 6 294
211.57 5 218
225.42 5 263
264.46 6 231
-83.78 0 123
175.43 4 180
-84.53 0 98
258.11 5 186
227.39 5 162
108.17 3 188
241.33 5 210
201.91 5 146
-72.33 0 88
294.22 6 224
408.1 8 269
353.11 7 186
222.81 5 176
21.16 1 121
200.85 4 194
210.79 5 192
63.14 2 187
213.17 5 188
86.42 3 213
291.66 6 221
449.76 8 241
287.6 6 169
337.66 7 172
183.35 5 194
358.17 7 188
476.6 9 219
59.26 1 141
329.49 7 232
203.56 5 201
182.12 4 153
216.93 5 230
78.02 2 183
-60.26 0 157
184.44 4 147
229.56 5 151
400.51 8 266
294.64 6 237
425.88 9 195
233.04 5 267
123.78 3 125
75.8 2 109
252.51 5 166
194.65 5 154
240.73 5 190
172.21 4 156
202.2 5 239
318.16 7 272
240.34 5 177
107.0 3 149
370.36 7 261
118.74 3 207
73.87 2 128
163.1 5 269
293.98 6 215
231.6 5 219
170.37 4 178
-83.51 0 132
198.08 5 185
335.94 7 197
-74.36 0 187
38.14 1 187
61.01 2 116
55.34 2 177
455.81 9 276
308.5 5 199
174.95 4 164
115.86 3 111
235.12 5 253
289.16 6 221
235.94 5 197
241.6 6 219
